Ransomware Family,TacticID,TechniqueID,Sub-TechID,Action,Num. CAR,Num. Sigma,Num. ES SIEM,Num. Splunk,Total
LockBitRansomware,Privilege Escalation,T1055,No Suitable Sub-techniques,Creates a process in suspended mode (likely to inject code),0,23,13,26,62
LokiLockerRansomware,Privilege Escalation,T1055,No Suitable Sub-techniques,Creates a process in suspended mode (likely to inject code),0,23,13,26,62
LorenzRansomware,Privilege Escalation,T1055,No Suitable Sub-techniques,Creates a process in suspended mode (likely to inject code),0,23,13,26,62
MementoRansomware,Privilege Escalation,T1055,No Suitable Sub-techniques,Creates a process in suspended mode (likely to inject code),0,23,13,26,62
MidasRansomware,Privilege Escalation,T1055,No Suitable Sub-techniques,Creates a process in suspended mode (likely to inject code),0,23,13,26,62
OnyxRansomware,Privilege Escalation,T1055,No Suitable Sub-techniques,Creates a process in suspended mode (likely to inject code),0,23,13,26,62
PandoraRansomware,Privilege Escalation,T1055,No Suitable Sub-techniques,Creates a process in suspended mode (likely to inject code),0,23,13,26,62
RookRansomware,Privilege Escalation,T1055,No Suitable Sub-techniques,Creates a process in suspended mode (likely to inject code),0,23,13,26,62
SynAckRansomware,Privilege Escalation,T1055,No Suitable Sub-techniques,Creates a process in suspended mode (likely to inject code),0,23,13,26,62
LokiLockerRansomware,Persistence,T1037,T1037.005,Creates a start menu entry (Start Menu\\Programs\\Startup),0,1,0,0,1
OnyxRansomware,Persistence,T1037,T1037.005,Creates a start menu entry (Start Menu\\Programs\\Startup),0,1,0,0,1
ChaosRansomware,Persistence,T1547,T1547.001,Creates a start menu entry (Start Menu\\Programs\\Startup),4,31,9,2,46
LokiLockerRansomware,Persistence,T1547,T1547.001,Creates a start menu entry (Start Menu\\Programs\\Startup),4,31,9,2,46
OnyxRansomware,Persistence,T1547,T1547.001,Creates a start menu entry (Start Menu\\Programs\\Startup),4,31,9,2,46
LokiLockerRansomware,Privilege Escalation,T1037,T1037.005,Creates a start menu entry (Start Menu\\Programs\\Startup),0,1,0,0,1
OnyxRansomware,Privilege Escalation,T1037,T1037.005,Creates a start menu entry (Start Menu\\Programs\\Startup),0,1,0,0,1
ChaosRansomware,Privilege Escalation,T1547,T1547.001,Creates a start menu entry (Start Menu\\Programs\\Startup),4,31,9,2,46
LokiLockerRansomware,Privilege Escalation,T1547,T1547.001,Creates a start menu entry (Start Menu\\Programs\\Startup),4,31,9,2,46
OnyxRansomware,Privilege Escalation,T1547,T1547.001,Creates a start menu entry (Start Menu\\Programs\\Startup),4,31,9,2,46
CrytoxRansomware,Defense Evasion,T1055,T1055.003,Creates a thread in another existing process (thread injection),0,2,0,0,2
CrytoxRansomware,Privilege Escalation,T1055,T1055.003,Creates a thread in another existing process (thread injection),0,2,0,0,2
ChaosRansomware,Collection,T1115,No sub-techniques,Creates a window with clipboard capturing capabilities,0,6,0,2,8
OnyxRansomware,Collection,T1115,No sub-techniques,Creates a window with clipboard capturing capabilities,0,6,0,2,8
AgendaRansomware,Persistence,T1547,T1547.001,Creates an autostart registry key,4,31,9,2,46
CrytoxRansomware,Persistence,T1547,T1547.001,Creates an autostart registry key,4,31,9,2,46
LokiLockerRansomware,Persistence,T1547,T1547.001,Creates an autostart registry key,4,31,9,2,46
MementoRansomware,Persistence,T1547,T1547.001,Creates an autostart registry key,4,31,9,2,46
CrytoxRansomware,Privilege Escalation,T1547,T1547.001,Creates an autostart registry key,4,31,9,2,46
LokiLockerRansomware,Privilege Escalation,T1547,T1547.001,Creates an autostart registry key,4,31,9,2,46
MementoRansomware,Privilege Escalation,T1547,T1547.001,Creates an autostart registry key,4,31,9,2,46
LokiLockerRansomware,Persistence,T1547,T1547.001,Creates an autostart registry key pointing to binary in C:\Windows,4,31,9,2,46
LokiLockerRansomware,Privilege Escalation,T1547,T1547.001,Creates an autostart registry key pointing to binary in C:\Windows,4,31,9,2,46
AESRTRansomware,Persistence,T1547,T1547.001,Creates an undocumented autostart registry key,4,31,9,2,46
ClownicRansomware,Persistence,T1547,T1547.001,Creates an undocumented autostart registry key,4,31,9,2,46
AESRTRansomware,Privilege Escalation,T1547,T1547.001,Creates an undocumented autostart registry key,4,31,9,2,46
ClownicRansomware,Privilege Escalation,T1547,T1547.001,Creates an undocumented autostart registry key,4,31,9,2,46
AgendaRansomware,Persistence,T1547,T1547.001,Creates autostart registry keys with suspicious names,4,31,9,2,46
ChaosRansomware,Execution,T1053,No Suitable Sub-techniques,Creates COM task schedule object (often to register a task for autostart),0,11,19,28,58
LokiLockerRansomware,Execution,T1053,No Suitable Sub-techniques,Creates COM task schedule object (often to register a task for autostart),0,11,19,28,58
ChaosRansomware,Persistence,T1053,No Suitable Sub-techniques,Creates COM task schedule object (often to register a task for autostart),0,11,19,28,58
LokiLockerRansomware,Persistence,T1053,No Suitable Sub-techniques,Creates COM task schedule object (often to register a task for autostart),0,11,19,28,58
LokiLockerRansomware,Privilege Escalation,T1053,No Suitable Sub-techniques,Creates COM task schedule object (often to register a task for autostart),0,11,19,28,58
BandarChorRansomware,Defense Evasion,T1564,T1564.004,Creates files in alternative data streams (ADS),2,19,2,0,23
DearCryRansomware,Defense Evasion,T1564,T1564.001,Creates files in the recycle bin to hide itself,0,8,5,2,15
CrytoxRansomware,Defense Evasion,T1564,T1564.001,Creates files in the recycle bin to hide itself,0,8,5,2,15
SugarRansomware,Defense Evasion,T1564,T1564.001,Creates files in the recycle bin to hide itself,0,8,5,2,15
LokiLockerRansomware,Defense Evasion,T1036,T1036.005,Creates files in the system32 config directory,1,9,1,1,12
AESRTRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,"Creates files inside various directories and locations (program,system,user,driver etc)",1,27,16,27,71
AgendaRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,"Creates files inside various directories and locations (program,system,user,driver etc)",1,27,16,27,71
BlackBastaRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,"Creates files inside various directories and locations (program,system,user,driver etc)",1,27,16,27,71
BlueSkyRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,"Creates files inside various directories and locations (program,system,user,driver etc)",1,27,16,27,71
ChaosRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,"Creates files inside various directories and locations (program,system,user,driver etc)",1,27,16,27,71
Cl0pRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,"Creates files inside various directories and locations (program,system,user,driver etc)",1,27,16,27,71
CrytoxRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,"Creates files inside various directories and locations (program,system,user,driver etc)",1,27,16,27,71
CuratorRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,"Creates files inside various directories and locations (program,system,user,driver etc)",1,27,16,27,71
DearCryRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,"Creates files inside various directories and locations (program,system,user,driver etc)",1,27,16,27,71
HiveRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,"Creates files inside various directories and locations (program,system,user,driver etc)",1,27,16,27,71
KoxicRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,"Creates files inside various directories and locations (program,system,user,driver etc)",1,27,16,27,71
LilithRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,"Creates files inside various directories and locations (program,system,user,driver etc)",1,27,16,27,71
LockBitRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,"Creates files inside various directories and locations (program,system,user,driver etc)",1,27,16,27,71
LokiLockerRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,"Creates files inside various directories and locations (program,system,user,driver etc)",1,27,16,27,71
LorenzRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,"Creates files inside various directories and locations (program,system,user,driver etc)",1,27,16,27,71
MementoRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,"Creates files inside various directories and locations (program,system,user,driver etc)",1,27,16,27,71
MoishaRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,"Creates files inside various directories and locations (program,system,user,driver etc)",1,27,16,27,71
OnyxRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,"Creates files inside various directories and locations (program,system,user,driver etc)",1,27,16,27,71
PandoraRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,"Creates files inside various directories and locations (program,system,user,driver etc)",1,27,16,27,71
RookRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,"Creates files inside various directories and locations (program,system,user,driver etc)",1,27,16,27,71
SFileRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,"Creates files inside various directories and locations (program,system,user,driver etc)",1,27,16,27,71
SugarRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,"Creates files inside various directories and locations (program,system,user,driver etc)",1,27,16,27,71
SunnyDayRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,"Creates files inside various directories and locations (program,system,user,driver etc)",1,27,16,27,71
SynAckRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,"Creates files inside various directories and locations (program,system,user,driver etc)",1,27,16,27,71
KoxicRansomware,Defense Evasion,T1055,No Suitable Sub-techniques,"Creates files inside various directories and locations (program,system,user,driver etc)",0,23,13,26,62
AESRTRansomware,Defense Evasion,T1562,T1562.001,"Creates guard pages, often used to prevent reverse engineering and debugging",3,74,39,45,161
BlackCatRansomware,Defense Evasion,T1562,T1562.001,"Creates guard pages, often used to prevent reverse engineering and debugging",3,74,39,45,161
ChaosRansomware,Defense Evasion,T1562,T1562.001,"Creates guard pages, often used to prevent reverse engineering and debugging",3,74,39,45,161
ClownicRansomware,Defense Evasion,T1562,T1562.001,"Creates guard pages, often used to prevent reverse engineering and debugging",3,74,39,45,161
CrytoxRansomware,Defense Evasion,T1562,T1562.001,"Creates guard pages, often used to prevent reverse engineering and debugging",3,74,39,45,161
CubaRansomware,Defense Evasion,T1562,T1562.001,"Creates guard pages, often used to prevent reverse engineering and debugging",3,74,39,45,161
HaronRansomware,Defense Evasion,T1562,T1562.001,"Creates guard pages, often used to prevent reverse engineering and debugging",3,74,39,45,161
HiveRansomware,Defense Evasion,T1562,T1562.001,"Creates guard pages, often used to prevent reverse engineering and debugging",3,74,39,45,161
LilithRansomware,Defense Evasion,T1562,T1562.001,"Creates guard pages, often used to prevent reverse engineering and debugging",3,74,39,45,161
LokiLockerRansomware,Defense Evasion,T1562,T1562.001,"Creates guard pages, often used to prevent reverse engineering and debugging",3,74,39,45,161
MidasRansomware,Defense Evasion,T1562,T1562.001,"Creates guard pages, often used to prevent reverse engineering and debugging",3,74,39,45,161
MoishaRansomware,Defense Evasion,T1562,T1562.001,"Creates guard pages, often used to prevent reverse engineering and debugging",3,74,39,45,161
OnyxRansomware,Defense Evasion,T1562,T1562.001,"Creates guard pages, often used to prevent reverse engineering and debugging",3,74,39,45,161
SynAckRansomware,Defense Evasion,T1562,T1562.001,"Creates guard pages, often used to prevent reverse engineering and debugging",3,74,39,45,161
MoishaRansomware,Defense Evasion,T1564,T1564.001,"Creates hidden files, links and/or directories",0,8,5,2,15
SunnyDayRansomware,Defense Evasion,T1564,T1564.001,"Creates hidden files, links and/or directories",0,8,5,2,15
CrytoxRansomware,Persistence,T1543,T1543.003,Creates or modifies windows services,6,40,10,14,70
DecafRansomware,Persistence,T1543,T1543.003,Creates or modifies windows services,6,40,10,14,70
DecafRansomware,Privilege Escalation,T1543,T1543.003,Creates or modifies windows services,6,40,10,14,70
HaronRansomware,Defense Evasion,T1140,No sub-techniques,Decode data using Base64 in .NET,1,13,6,2,22
LokiLockerRansomware,Defense Evasion,T1140,No sub-techniques,Decode data using Base64 in .NET,1,13,6,2,22
MidasRansomware,Defense Evasion,T1140,No sub-techniques,Decode data using Base64 in .NET,1,13,6,2,22
MoishaRansomware,Defense Evasion,T1140,No sub-techniques,Decode data using Base64 in .NET,1,13,6,2,22
OnyxRansomware,Defense Evasion,T1140,No sub-techniques,Decode data using Base64 in .NET,1,13,6,2,22
Yanluowang Ransomware,Defense Evasion,T1140,No sub-techniques,Decode data using Base64 via WinAPI,1,13,6,2,22
MidasRansomware,Defense Evasion,T1140,No sub-techniques,Decrypt data,1,13,6,2,22
AvosLockerRansomware,Defense Evasion,T1140,No sub-techniques,Decrypt data using AES via x86 extensions,1,13,6,2,22
DearCryRansomware,Defense Evasion,T1140,No sub-techniques,Decrypt data using AES via x86 extensions,1,13,6,2,22
MoishaRansomware,Defense Evasion,T1140,No sub-techniques,Decrypt data using RSA,1,13,6,2,22
BandarChorRansomware,Defense Evasion,T149,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
AgendaRansomware,Defense Evasion,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
BlackBastaRansomware,Defense Evasion,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
BlueSkyRansomware,Defense Evasion,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
ChaosRansomware,Defense Evasion,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
Cl0pRansomware,Defense Evasion,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
CuratorRansomware,Defense Evasion,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
DearCryRansomware,Defense Evasion,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
HaronRansomware,Defense Evasion,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
LockBitRansomware,Defense Evasion,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
LokiLockerRansomware,Defense Evasion,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
LorenzRansomware,Defense Evasion,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
MagniberRansomware,Defense Evasion,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
MidasRansomware,Defense Evasion,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
MoishaRansomware,Defense Evasion,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
OnyxRansomware,Defense Evasion,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
PLAYRansomware,Defense Evasion,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
PandoraRansomware,Defense Evasion,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
RookRansomware,Defense Evasion,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
SamsamRansomware,Defense Evasion,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
SugarRansomware,Defense Evasion,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
SunnyDayRansomware,Defense Evasion,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
SynAckRansomware,Defense Evasion,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
AgendaRansomware,Discovery,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
BandarChorRansomware,Discovery,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
BlackBastaRansomware,Discovery,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
BlueSkyRansomware,Discovery,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
ChaosRansomware,Discovery,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
Cl0pRansomware,Discovery,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
CrytoxRansomware,Discovery,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
CuratorRansomware,Discovery,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
DearCryRansomware,Discovery,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
HaronRansomware,Discovery,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
LokiLockerRansomware,Discovery,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
LorenzRansomware,Discovery,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
MagniberRansomware,Discovery,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
MidasRansomware,Discovery,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
MoishaRansomware,Discovery,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
OnyxRansomware,Discovery,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
PLAYRansomware,Discovery,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
PandoraRansomware,Discovery,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
RookRansomware,Discovery,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
SamsamRansomware,Discovery,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
SugarRansomware,Discovery,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
SynAckRansomware,Discovery,T1497,T1497.003,Delays or hinder the dynamic analysis through sleep timer or evasive loops,0,0,0,1,1
CuratorRansomware,Discovery,T1518,T1518.001,Delays or hinder the dynamic analysis through sleep timer or evasive loops,1,4,2,0,7
PLAYRansomware,Discovery,T1518,T1518.001,Delays or hinder the dynamic analysis through sleep timer or evasive loops,1,4,2,0,7
SamsamRansomware,Discovery,T1518,T1518.001,Delays or hinder the dynamic analysis through sleep timer or evasive loops,1,4,2,0,7
SunnyDayRansomware,Discovery,T1518,T1518.001,Delays or hinder the dynamic analysis through sleep timer or evasive loops,1,4,2,0,7
BlackBastaRansomware,Impact,T1490,No sub-techniques,Delete all shadow copies of the disk,2,18,6,12,38
PandoraRansomware,Impact,T1490,No sub-techniques,Delete all shadow copies of the disk,2,18,6,12,38
HaronRansomware,Defense Evasion,T1112,No sub-techniques,Delete registry key,8,62,5,25,100
MidasRansomware,Defense Evasion,T1112,No sub-techniques,Delete registry key,8,62,5,25,100
AESRTRansomware,Defense Evasion,T1112,No sub-techniques,Delete registry value,8,62,5,25,100
DearCryRansomware,Persistence,T1543,T1543.003,Delete service,6,40,10,14,70
DearCryRansomware,Privilege Escalation,T1543,T1543.003,Delete service,6,40,10,14,70
AESRTRansomware,Defense Evasion,T1070,T1070.004,Delete volume shadow copies of the disk,0,12,4,12,28
BlackCatRansomware,Defense Evasion,T1070,T1070.004,Delete volume shadow copies of the disk,0,12,4,12,28
OnyxRansomware,Defense Evasion,T1070.,T1070.004,Delete volume shadow copies of the disk,0,12,4,12,28
OnyxRansomware,Impact,T1486,No sub-techniques,Delete volume shadow copies of the disk,0,10,1,7,18
BlackCatRansomware,Impact,T1490,No sub-techniques,Delete volume shadow copies of the disk,2,18,6,12,38
AESRTRansomware,Impact,T1490,No sub-techniques,Delete volume shadow copies of the disk,2,18,6,12,38
OnyxRansomware,Impact,T1490,No sub-techniques,Delete Windows backup catalog,2,18,6,12,38
AESRTRansomware,Impact,T1490,No Suitable Sub-techniques,Delete Windows backup catalog,2,18,6,12,38
CrytoxRansomware,Defense Evasion,T1070,T1070.004,Deletes itself after installation,0,12,4,12,28
SynAckRansomware,Defense Evasion,T1070,T1070.004,Deletes itself after installation,0,12,4,12,28
ChaosRansomware,Defense Evasion,T1070,T1070.004,Deletes the backup plan of Windows,0,12,4,12,28
LokiLockerRansomware,Defense Evasion,T1070,T1070.004,Deletes the backup plan of Windows,0,12,4,12,28
BianLianRansomware,Command And Control,T1571,No sub-techniques,Detected TCP or UDP traffic on non-standard ports,0,3,1,0,4
HaronRansomware,Command And Control,T1571,No sub-techniques,Detected TCP or UDP traffic on non-standard ports,0,3,1,0,4
LorenzRansomware,Command And Control,T1571,No sub-techniques,Detected TCP or UDP traffic on non-standard ports,0,3,1,0,4
OnyxRansomware,Impact,T1486,No sub-techniques,Disable automatic Windows recovery features,0,10,1,7,18
AESRTRansomware,Impact,T1490,No Suitable Sub-techniques,Disable automatic Windows recovery features,2,18,6,12,38
KoxicRansomware,Defense Evasion,T1548,T1548.002,Disable Windows Defender real time protection (registry),3,48,11,13,75
KoxicRansomware,Defense Evasion,T1562,T1562.001,Disable Windows Defender real time protection (registry),3,74,39,45,161
KoxicRansomware,Privilege Escalation,T1548,T1548.002,Disable Windows Defender real time protection (registry),3,48,11,13,75
LokiLockerRansomware,Defense Evasion,T1562,T1562.004,Disables the windows firewall (over ALG),0,13,4,5,22
AESRTRansomware,Defense Evasion,T1562,T1562.001,Disables the Windows task manager (taskmgr),3,74,39,45,161
ClownicRansomware,Defense Evasion,T1562,T1562.001,Disables the Windows task manager (taskmgr),3,74,39,45,161
HaronRansomware,Defense Evasion,T1562,T1562.001,Disables the Windows task manager (taskmgr),3,74,39,45,161
KoxicRansomware,Defense Evasion,T1562,T1562.001,Disables Windows Defender,3,74,39,45,161
LokiLockerRansomware,Defense Evasion,T1562,T1562.001,Disables Windows Defender,3,74,39,45,161
BandarChorRansomware,Command and Control,T1071,No Suitable Sub-techniques,DNS query manytimes,0,6,11,10,27
HaronRansomware,Command and Control,T1071,No Suitable Sub-techniques,DNS query manytimes,0,6,11,10,27
KoxicRansomware,Command and Control,T1071,No Suitable Sub-techniques,DNS query manytimes,0,6,11,10,27
LokiLockerRansomware,Command and Control,T1071,No Suitable Sub-techniques,DNS query manytimes,0,6,11,10,27
MidasRansomware,Command and Control,T1071,No Suitable Sub-techniques,DNS query manytimes,0,6,11,10,27
PhobosRansomware,Command and Control,T1071,No Suitable Sub-techniques,DNS query manytimes,0,6,11,10,27
RookRansomware,Command and Control,T1071,No Suitable Sub-techniques,DNS query manytimes,0,6,11,10,27
SugarRansomware,Command and Control,T1071,No Suitable Sub-techniques,DNS query manytimes,0,6,11,10,27
SunnyDayRansomware,Command and Control,T1071,No Suitable Sub-techniques,DNS query manytimes,0,6,11,10,27
BandarChorRansomware,Command and Control,T1095,No sub-techniques,DNS query manytimes,0,4,1,2,7
HaronRansomware,Command and Control,T1095,No sub-techniques,DNS query manytimes,0,4,1,2,7
KoxicRansomware,Command and Control,T1095,No sub-techniques,DNS query manytimes,0,4,1,2,7
LokiLockerRansomware,Command and Control,T1095,No sub-techniques,DNS query manytimes,0,4,1,2,7
MidasRansomware,Command and Control,T1095,No sub-techniques,DNS query manytimes,0,4,1,2,7
PhobosRansomware,Command and Control,T1095,No sub-techniques,DNS query manytimes,0,4,1,2,7
RookRansomware,Command and Control,T1095,No sub-techniques,DNS query manytimes,0,4,1,2,7
SugarRansomware,Command and Control,T1095,No sub-techniques,DNS query manytimes,0,4,1,2,7
SunnyDayRansomware,Command and Control,T1095,No sub-techniques,DNS query manytimes,0,4,1,2,7
SugarRansomware,Command And Control,T1568,T1568.002,DNS query manytimes,0,2,3,1,6
HaronRansomware,Command And Control,T1105,No sub-techniques,Download and write a file or Downloads files,4,47,9,23,83
MidasRansomware,Command And Control,T1105,No sub-techniques,Download and write a file or Downloads files,4,47,9,23,83
CrytoxRansomware,Command And Control,T1105,No sub-techniques,Download and write a file or Downloads files,4,47,9,23,83
CuratorRansomware,Command And Control,T1105,No sub-techniques,Download and write a file or Downloads files,4,47,9,23,83
KoxicRansomware,Command And Control,T1105,No sub-techniques,Download and write a file or Downloads files,4,47,9,23,83
PandoraRansomware,Command And Control,T1105,No sub-techniques,Download and write a file or Downloads files,4,47,9,23,83
RookRansomware,Command And Control,T1105,No sub-techniques,Download and write a file or Downloads files,4,47,9,23,83
HaronRansomware,Command And Control,T1071,No Suitable Sub-techniques,Downloads executable code via HTTP or files from webservers via HTTP,0,6,11,10,27
SugarRansomware,Command And Control,T1071,No Suitable Sub-techniques,Downloads executable code via HTTP or files from webservers via HTTP,0,6,11,10,27
LockBitRansomware,Command And Control,T1095,No sub-techniques,Downloads executable code via HTTP or files from webservers via HTTP,0,4,1,2,7
HaronRansomware,Command And Control,T1095,No sub-techniques,Downloads executable code via HTTP or files from webservers via HTTP,0,4,1,2,7
SugarRansomware,Command And Control,T1095,No sub-techniques,Downloads executable code via HTTP or files from webservers via HTTP,0,4,1,2,7
LockBitRansomware,Command and Control,T1105,No sub-techniques,Downloads executable code via HTTP or files from webservers via HTTP,4,47,9,23,83
LockBitRansomware,Command And Control,T1105,No sub-techniques,Downloads executable code via HTTP or files from webservers via HTTP,4,47,9,23,83
HaronRansomware,Command And Control,T1105,No sub-techniques,Downloads executable code via HTTP or files from webservers via HTTP,4,47,9,23,83
SugarRansomware,Command And Control,T1105,No sub-techniques,Downloads executable code via HTTP or files from webservers via HTTP,4,47,9,23,83
LokiLockerRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,Drops a PE files to the windows directory (C:\\Windows) and starts it,1,27,16,27,71
KoxicRansomware,Defense Evasion,T1070,T1070.004,Drops batch files with force delete cmd (self deletion),0,12,4,12,28
CrytoxRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,Drops files with a non matching file extension (content does not match to file extension),1,27,16,27,71
LockBitRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,Drops files with a non matching file extension (content does not match to file extension),1,27,16,27,71
PLAYRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,Drops files with a non matching file extension (content does not match to file extension),1,27,16,27,71
DearCryRansomware,Command And Control,T1105,No sub-techniques,Drops interesting files and uses them,4,47,9,23,83
AgendaRansomware,Defense Evasion,T1036,No sub-techniques,"Drops PE files across diverse system and application directories (including program, system, user, and driver folders)",1,27,16,27,71
BlackBastaRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,"Drops PE files across diverse system and application directories (including program, system, user, and driver folders)",1,27,16,27,71
ChaosRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,"Drops PE files across diverse system and application directories (including program, system, user, and driver folders)",1,27,16,27,71
CuratorRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,"Drops PE files across diverse system and application directories (including program, system, user, and driver folders)",1,27,16,27,71
DearCryRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,"Drops PE files across diverse system and application directories (including program, system, user, and driver folders)",1,27,16,27,71
OnyxRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,"Drops PE files across diverse system and application directories (including program, system, user, and driver folders)",1,27,16,27,71
SunnyDayRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,"Drops PE files across diverse system and application directories (including program, system, user, and driver folders)",1,27,16,27,71
LokiLockerRansomware,Persistence,T1547,T1547.001,Drops PE files to the startup folder (C:\\Documents and Settings\\All Users\\Start Menu\\Programs\\Startup),4,31,9,2,46
LokiLockerRansomware,Privilege Escalation,T1547,T1547.001,Drops PE files to the startup folder (C:\\Documents and Settings\\All Users\\Start Menu\\Programs\\Startup),4,31,9,2,46
AgendaRansomware,Defense Evasion,T1036,No Suitable Sub-techniques,Drops PE files to the user root directory (C:\\Documents and Settings\\User or C:\\Users\\User),1,27,16,27,71
